Topic,Raw Tweet,Annotated Label
Brexit,Watch @BorisJohnson's expression; he actually think this is cool #GeneralElection #GE2017 #WeCanDoThis #VoteLabour #ForTheMany #brexit https://t.co/XQtE7IjuRR,N
Brexit,"Great response on the doors today #brexit, education provision &amp; equality the issues in South Belfast- I will work hard to deliver on all 3 https://t.co/AQnOPtUVNY",N
Brexit,What worries me about #Brexit is how we'll manage to seal up the Channel Tunnel there are no #Polish brickies?? https://t.co/eZa2tmmJ79,N
Brexit,#Trump no longer supports #Brexit. Shame.,P
Brexit,"Sturgeon failed with #indyref, misjudged #Brexit, neglects the day job &amp; cannot curb vile SNP trolls, she's simply hopeless! #SNPout #GE17 https://t.co/jRBE5EpVwj",O
Brexit,"WHY Oh WHY is #Brexit wanted by a single person, anywhere? It's extraordinary, unforgiveable act of #Vandalism, even already. So very stupid",N
Brexit,RT @mestecnet: Is your shop floor ready for #Brexit yet? #UKMfg https://t.co/MHMPuZwfRC,N
Brexit,"Get that, #brexit? https://t.co/xOfFg1jdn5",N
Brexit,#ge2017 oldies voted in #brexit and now Tories when future generation wants opposite: bad karma says this old fart,P
Brexit,#Socialcare could be hit hard by #Brexit warn think tank #workforce  https://t.co/e8MwCWd4ut,N
Brexit,Not in position to leave but will keep fighting to stop #brexit. If that fails to rejoin the EU. First step is stop #ToxicTheresa in #GE2017 https://t.co/Hwk7RyGmgH,O
Demonetization,For f*ck sake please hire few humans and review our channels @YouTube @YTCreators @TeamYouTube It's been nearly a month without earnings! #YouTube #Demonetization #RespectCreators,N
Demonetization,"There's no empirical evidence of who r the most economically backward upper caste , so this #QuotaBill is nothing but another jumla like #Demonetisation by which no Black Money was recovered.
 This #Reservation is just diversion from #Employment that India wants #10PercentDebate",N
Demonetization,Just like finance minister wasn't aware of #demonetisation.. #QuotaBillhttps://twitter.com/maneeshchhibber/status/1083021038169001986 …,N
Demonetization,"#SabkaQuota Meritorious bhakts r cheering quota quota! 
 R not almost all of them qualified 4 such #Reservation ? When all r entitled for #reservation, does anyone benefit from #QuotaBill ? Isn't it another jumla like #15lakhtoall, #Demonetisation , #2crorejobsayear?",N
Demonetization,#ReservationBill is going to go #Demonetisation way at first #masterstroke at the end #Disaster...just another #jumla,N
Demonetization,"Look at the gimmicks created at the eleventh hour: #tripletalaqbill, #NRC,& #ReservationBill.Also, Don't forget #Demonetisation & #GST.All are examples of their desperation with zero ground research and planning.Undoubtedly, Congress only knows how to run the people centric govt.",N
Demonetization,Modi's #ReservationBill is as bad as #Demonetisation https://theprint.in/opinion/modi-govt-reservation-bill-bad-as-note-ban-only-dmk-has-courage-to-expose-it/175219/ … via @ThePrintIndia,N
Demonetization,"Poor Person who stood in que to withdraw Rs. 2000/- from Bank after post #Demonetisation 
 
 Rahul Gandhi: I-T dept slaps Rs 100 crore tax notice on Rahul Gandhi, Sonia Gandhi over AJL income | India News - Times of India",N
Demonetization,"All that #RahulGandhi does is wave off farmer loans wherever he goes. While PM Modi upgrades #QuotaBill, brings #RafaleDeal, introduces #GST, announce #Demonetisation, gets #Aadhaar, practices #MakeInIndia, flags of #SwachhBharat, forms #NITIAayog, transform to #DigitalIndia etcpic.twitter.com/jFh3WH0QZx",N
Hindu Lives Matter Campaign,Why our country's secularism doesn't comes into danger when Hindus are killed by muslim fanatics #HinduLivesMatter #HindusAreHumansToo,P
Hindu Lives Matter Campaign,Why no media coverage when a hindu is killed by the jehadis?? #hindu #attrocitiesonhindus #HinduLivesMatter,P
Hindu Lives Matter Campaign,So this is what @INCIndia is doing to #hindus #HinduLivesMatter #HinduHumanRights #StopHinduPersecution @UN @UNinIndiahttps://twitter.com/ShankhNaad/status/1134712813270605826 …,N
Hindu Lives Matter Campaign,#hinduLivesMatter. This incident is no different than dadari. Please play votebank games here too.@ArvindKejriwal @IndianExpress @OfficeOfRG,P
Hindu Lives Matter Campaign,"Is this how Muslims want to takeover the world?? Either they want to kill mankind that’s non-Muslim by carrying out terrorist attacks or they want to do something as heinous as forced sterilization behind closed doors.@TrueIndologyliv
 #HinduLivesMatter
 #hindustargettedhttps://twitter.com/ShefVaidya/status/1133019977932369920 …",H
